Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
*schützen*,*paket*,Positive
*steigern*,*paket*,Positive
ansteig*,*paket*,Positive
attratktiv,*paket*,Positive
ausgewogen*,*paket*,Positive
aussichtsvoll,*paket*,Positive
besser*,*paket*,Positive
beständig*,*paket*,Positive
effizient*,*paket*,Positive
entlasten*,*paket*,Positive
erfolgreich*,*paket*,Positive
erhöhen*,*paket*,Positive
erweitern*,*paket*,Positive
fest*,*paket*,Positive
gelungen,*paket*,Positive
großzügig*,*paket*,Positive
hoch*,*paket*,Positive
hohe*,*paket*,Positive
positiv*,*paket*,Positive
retten*,*paket*,Positive
rettung*,*paket*,Positive
robust,*paket*,Positive
solide*,*paket*,Positive
stabil*,*paket*,Positive
stark*,*paket*,Positive
steigen*,*paket*,Positive
stetig,*paket*,Positive
tragfähig*,*paket*,Positive
unbegrenzt*,*paket*,Positive
unterstütz*,*paket*,Positive
verantwort*,*paket*,Positive
verbesser*,*paket*,Positive
versprechen*,*paket*,Positive
vielverprechend,*paket*,Positive
wachsen*,*paket*,Positive
wirksam,*paket*,Positive
zugutekommen*,*paket*,Positive
*schützen*,Anleihe*,Positive
*steigern*,Anleihe*,Positive
ansteig*,Anleihe*,Positive
attratktiv,Anleihe*,Positive
ausgewogen*,Anleihe*,Positive
aussichtsvoll,Anleihe*,Positive
besser*,Anleihe*,Positive
beständig*,Anleihe*,Positive
effizient*,Anleihe*,Positive
entlasten*,Anleihe*,Positive
erfolgreich*,Anleihe*,Positive
erhöhen*,Anleihe*,Positive
erweitern*,Anleihe*,Positive
fest*,Anleihe*,Positive
gelungen,Anleihe*,Positive
großzügig*,Anleihe*,Positive
hoch*,Anleihe*,Positive
hohe*,Anleihe*,Positive
positiv*,Anleihe*,Positive
retten*,Anleihe*,Positive
rettung*,Anleihe*,Positive
robust,Anleihe*,Positive
solide*,Anleihe*,Positive
stabil*,Anleihe*,Positive
stark*,Anleihe*,Positive
steigen*,Anleihe*,Positive
stetig,Anleihe*,Positive
tragfähig*,Anleihe*,Positive
unbegrenzt*,Anleihe*,Positive
unterstütz*,Anleihe*,Positive
verantwort*,Anleihe*,Positive
verbesser*,Anleihe*,Positive
versprechen*,Anleihe*,Positive
vielverprechend,Anleihe*,Positive
wachsen*,Anleihe*,Positive
wirksam,Anleihe*,Positive
zugutekommen*,Anleihe*,Positive
*schützen*,Arbeitsmarkt*,Positive
*steigern*,Arbeitsmarkt*,Positive
ansteig*,Arbeitsmarkt*,Positive
attratktiv,Arbeitsmarkt*,Positive
ausgewogen*,Arbeitsmarkt*,Positive
aussichtsvoll,Arbeitsmarkt*,Positive
besser*,Arbeitsmarkt*,Positive
beständig*,Arbeitsmarkt*,Positive
effizient*,Arbeitsmarkt*,Positive
entlasten*,Arbeitsmarkt*,Positive
erfolgreich*,Arbeitsmarkt*,Positive
erhöhen*,Arbeitsmarkt*,Positive
erweitern*,Arbeitsmarkt*,Positive
fest*,Arbeitsmarkt*,Positive
gelungen,Arbeitsmarkt*,Positive
großzügig*,Arbeitsmarkt*,Positive
hoch*,Arbeitsmarkt*,Positive
