Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
*festigen*,Bürger*,Positive
*schütz*,Bürger*,Positive
*stärke*,Bürger*,Positive
*stützen* ,Bürger*,Positive
*wachs*,Bürger*,Positive
angestieg*,Bürger*,Positive
ansteigend*,Bürger*,Positive
aufbauen,Bürger*,Positive
befriedigt,Bürger*,Positive
begeistert,Bürger*,Positive
begünstigt,Bürger*,Positive
einsetzen,Bürger*,Positive
einwillig,Bürger*,Positive
erhöh*,Bürger*,Positive
erweiter*,Bürger*,Positive
fördern,Bürger*,Positive
groß*,Bürger*,Positive
großzügig*,Bürger*,Positive
guttun,Bürger*,Positive
helfen,Bürger*,Positive
herstellen,Bürger*,Positive
hohe*,Bürger*,Positive
nützen,Bürger*,Positive
optimistisch,Bürger*,Positive
positiv,Bürger*,Positive
profitier*,Bürger*,Positive
sicher,Bürger*,Positive
unterstützen,Bürger*,Positive
verbesser*,Bürger*,Positive
wiederherstellen,Bürger*,Positive
zufrieden,Bürger*,Positive
zugenommen*,Bürger*,Positive
zugute kommen,Bürger*,Positive
zunehmen*,Bürger*,Positive
zustimmen,Bürger*,Positive
zuversichtlich,Bürger*,Positive
*festigen*,Ersparnis* ,Positive
*schütz*,Ersparnis* ,Positive
*stärke*,Ersparnis* ,Positive
*stützen* ,Ersparnis* ,Positive
*wachs*,Ersparnis* ,Positive
angestieg*,Ersparnis* ,Positive
ansteigend*,Ersparnis* ,Positive
aufbauen,Ersparnis* ,Positive
befriedigt,Ersparnis* ,Positive
begeistert,Ersparnis* ,Positive
begünstigt,Ersparnis* ,Positive
einsetzen,Ersparnis* ,Positive
einwillig,Ersparnis* ,Positive
erhöh*,Ersparnis* ,Positive
erweiter*,Ersparnis* ,Positive
fördern,Ersparnis* ,Positive
groß*,Ersparnis* ,Positive
großzügig*,Ersparnis* ,Positive
guttun,Ersparnis* ,Positive
helfen,Ersparnis* ,Positive
herstellen,Ersparnis* ,Positive
hohe*,Ersparnis* ,Positive
nützen,Ersparnis* ,Positive
optimistisch,Ersparnis* ,Positive
positiv,Ersparnis* ,Positive
profitier*,Ersparnis* ,Positive
sicher,Ersparnis* ,Positive
unterstützen,Ersparnis* ,Positive
verbesser*,Ersparnis* ,Positive
wiederherstellen,Ersparnis* ,Positive
zufrieden,Ersparnis* ,Positive
zugenommen*,Ersparnis* ,Positive
zugute kommen,Ersparnis* ,Positive
zunehmen*,Ersparnis* ,Positive
zustimmen,Ersparnis* ,Positive
zuversichtlich,Ersparnis* ,Positive
*festigen*,Haushalt*,Positive
*schütz*,Haushalt*,Positive
*stärke*,Haushalt*,Positive
*stützen* ,Haushalt*,Positive
*wachs*,Haushalt*,Positive
angestieg*,Haushalt*,Positive
ansteigend*,Haushalt*,Positive
aufbauen,Haushalt*,Positive
befriedigt,Haushalt*,Positive
begeistert,Haushalt*,Positive
begünstigt,Haushalt*,Positive
einsetzen,Haushalt*,Positive
einwillig,Haushalt*,Positive
erhöh*,Haushalt*,Positive
erweiter*,Haushalt*,Positive
fördern,Haushalt*,Positive
groß*,Haushalt*,Positive
großzügig*,Haushalt*,Positive
guttun,Haushalt*,Positive
helfen,Haushalt*,Positive
herstellen,Haushalt*,Positive
hohe*,Haushalt*,Positive
nützen,Haushalt*,Positive
optimistisch,Haushalt*,Positive
positiv,Haushalt*,Positive
profitier*,Haushalt*,Positive
sicher,Haushalt*,Positive
unterstützen,Haushalt*,Positive
verbesser*,Haushalt*,Positive
wiederherstellen,Haushalt*,Positive
zufrieden,Haushalt*,Positive
zugenommen*,Haushalt*,Positive
zugute kommen,Haushalt*,Positive
zunehmen*,Haushalt*,Positive
zustimmen,Haushalt*,Positive
zuversichtlich,Haushalt*,Positive
*festigen*,Sparer*,Positive
*schütz*,Sparer*,Positive
*stärke*,Sparer*,Positive
*stützen* ,Sparer*,Positive
*wachs*,Sparer*,Positive
angestieg*,Sparer*,Positive
ansteigend*,Sparer*,Positive
aufbauen,Sparer*,Positive
befriedigt,Sparer*,Positive
begeistert,Sparer*,Positive
begünstigt,Sparer*,Positive
einsetzen,Sparer*,Positive
einwillig,Sparer*,Positive
erhöh*,Sparer*,Positive
erweiter*,Sparer*,Positive
fördern,Sparer*,Positive
groß*,Sparer*,Positive
großzügig*,Sparer*,Positive
guttun,Sparer*,Positive
helfen,Sparer*,Positive
herstellen,Sparer*,Positive
hohe*,Sparer*,Positive
nützen,Sparer*,Positive
optimistisch,Sparer*,Positive
positiv,Sparer*,Positive
profitier*,Sparer*,Positive
sicher,Sparer*,Positive
unterstützen,Sparer*,Positive
verbesser*,Sparer*,Positive
wiederherstellen,Sparer*,Positive
zufrieden,Sparer*,Positive
zugenommen*,Sparer*,Positive
zugute kommen,Sparer*,Positive
zunehmen*,Sparer*,Positive
zustimmen,Sparer*,Positive
zuversichtlich,Sparer*,Positive
*festigen*,Staatsbürger*,Positive
*schütz*,Staatsbürger*,Positive
*stärke*,Staatsbürger*,Positive
*stützen* ,Staatsbürger*,Positive
*wachs*,Staatsbürger*,Positive
angestieg*,Staatsbürger*,Positive
ansteigend*,Staatsbürger*,Positive
aufbauen,Staatsbürger*,Positive
befriedigt,Staatsbürger*,Positive
begeistert,Staatsbürger*,Positive
begünstigt,Staatsbürger*,Positive
einsetzen,Staatsbürger*,Positive
einwillig,Staatsbürger*,Positive
erhöh*,Staatsbürger*,Positive
erweiter*,Staatsbürger*,Positive
fördern,Staatsbürger*,Positive
groß*,Staatsbürger*,Positive
großzügig*,Staatsbürger*,Positive
guttun,Staatsbürger*,Positive
helfen,Staatsbürger*,Positive
herstellen,Staatsbürger*,Positive
hohe*,Staatsbürger*,Positive
nützen,Staatsbürger*,Positive
optimistisch,Staatsbürger*,Positive
positiv,Staatsbürger*,Positive
profitier*,Staatsbürger*,Positive
sicher,Staatsbürger*,Positive
unterstützen,Staatsbürger*,Positive
verbesser*,Staatsbürger*,Positive
wiederherstellen,Staatsbürger*,Positive
zufrieden,Staatsbürger*,Positive
zugenommen*,Staatsbürger*,Positive
zugute kommen,Staatsbürger*,Positive
zunehmen*,Staatsbürger*,Positive
zustimmen,Staatsbürger*,Positive
zuversichtlich,Staatsbürger*,Positive
*festigen*,Steuerzahler*,Positive
*schütz*,Steuerzahler*,Positive
*stärke*,Steuerzahler*,Positive
*stützen* ,Steuerzahler*,Positive
