Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;; +;-
*festigen*;ängstlich*;Bürger*;Gemeinwohl;Austerität* 
*schütz*;bangen;Ersparnis* ;politisch* Einheit;öffentliche* Aufreg*
*stärke*;beschädigt*;Haushalt*;politisch* Gleichgewicht*;öffentliche* Empörung*
*stützen* ;besorgt*;Sparer*;Solidarität;politische* Konflikt*
*wachs*;desillusioniert;Staatsbürger*;soziale* Frieden*;politische* Spannung*
angestieg*;empört*;Steuerzahler*;soziale* Gleichgewicht*;politische* Unfrieden*
ansteigend*;enttäuscht;verfügbare* Einkommen*;soziale* Stabilität ;politische* Unruhen*
aufbauen;frustriert;Volk*;soziale* Wohlstand*;politsche* Chaos*
befriedigt;gering*;;soziale* Zusammenhalt*;soziale* Empörung*
begeistert;heftig*;;;soziale* Instabilität*
begünstigt;klein*;;;soziale* Missst*
einsetzen;leiden*;;;soziale* Spannungen*
einwillig;missbilligen;;;soziale* Unfrieden* 
erhöh*;missfallen*;;;soziale* Ungleichheit* 
erweiter*;negativ;;;soziale* Unruhen*
fördern;nicht genug;;;soziale* Unsicherheit*
groß*;nicht zustimmen;;;soziale* Unzufriedenheit*
großzügig*;niedrig*;;;Störung der öffentlichen Ordnung
guttun;pessimistisch;;;zivile* Unruhen*
helfen;protestieren;;;Zusammenbruch des zivilen
herstellen;schaden;;;
hohe*;schlecht*;;;
nützen;schwach*;;;
optimistisch;senken;;;
positiv;sinkend*;;;
profitier*;sorgenvoll;;;
sicher;sorgsam;;;
unterstützen;unzufrieden;;;
verbesser*;unzureichend*;;;
wiederherstellen;verärgert*;;;
zufrieden;verhindern;;;
zugenommen*;verletzt;;;
zugute kommen;vermindern;;;
zunehmen*;verringern;;;
zustimmen;widersprechen;;;
zuversichtlich;wütend;;;
