Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;;+;-
accomodat*;consolidat*;bail-out ;expansion;austerity
balance*;corrupt ;bailout;full* employment;crisis
benefit*;declin*;bond*;high* employment;fiscal disciplin*
better;destabili*;domestic demand;high* levels of employment;growing deficit*
cover;deteriorat*;employee*;low fiscal deficit;high deficit*
efficient;diffic*;employer*;low price pressure*;high price pressure*
encouraging;diminish;export*;low sovereign debt;high public deficit* 
enhance;discipline*;fiscal;low* inflationary pressure*;high sovereign debt
expand*;fail*;foreign demand;low* levels of unemployment;high* government debt
firm*;fall*;fundamental*;low* public debt ;high* inflationary pressure*
generous*;fraud*;government balance sheet*;low* unemployment;high* levels of unemployment
great;inefficient;government bond*;prosperity;high* unemployment
grow*;insufficient ;government budget;real progress;idiosyncr*
healthy;involuntary;import*;signs of progress;jobless
high*;irresponsib*;integration;stable fiscal deficit;lavish*
improv*;low*;labo(u)r;stable public deficit;lax*
increas*;meager;package;stable sovereign debt;low levels of employment
positive;negative;political unity ;welfare;no progress 
powerful;problem*;program*;;out of work
promis*;restrict*;public sector ;;protectionist
protect*;rigid;public service*;;risi* fiscal deficit*
rais*;severe;redistribut*;;risi* inflationary pressure*
relief;shaky ;reform*;;risi* public debt 
rescue;shrink*;small and medium;;risi* public deficit* 
responsib*;slim;SME*;;shortfall 
risi*;slow;sovereign bond*;;sovereign default
robust;small*;state budget ;;surveil*
solid;structural ;state securit*;;
sound;struggling;transmission ;;
stable;tight;wage*;;
steadfast;troubl*;spending;;
steady ;unbalance*;;;
stimul*;unstable;;;
strong*;unsustainable;;;
success*;urgent*;;;
support*;weak*;;;
unlimited;worse*;;;
