Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
accomodat*,bailout,Positive
balance*,bailout,Positive
benefit*,bailout,Positive
better,bailout,Positive
recover,bailout,Positive
efficient,bailout,Positive
encouraging,bailout,Positive
enhance,bailout,Positive
expand*,bailout,Positive
firm*,bailout,Positive
generous*,bailout,Positive
great,bailout,Positive
grow*,bailout,Positive
healthy,bailout,Positive
high*,bailout,Positive
improv*,bailout,Positive
increas*,bailout,Positive
positive,bailout,Positive
powerful,bailout,Positive
promis*,bailout,Positive
protect*,bailout,Positive
rais*,bailout,Positive
relief,bailout,Positive
rescue,bailout,Positive
responsib*,bailout,Positive
risi*,bailout,Positive
robust,bailout,Positive
solid,bailout,Positive
sound,bailout,Positive
stable,bailout,Positive
steadfast,bailout,Positive
steady ,bailout,Positive
stimul*,bailout,Positive
strong*,bailout,Positive
success*,bailout,Positive
support*,bailout,Positive
unlimited,bailout,Positive
accomodat*,bail-out ,Positive
balance*,bail-out ,Positive
benefit*,bail-out ,Positive
better,bail-out ,Positive
recover,bail-out ,Positive
efficient,bail-out ,Positive
encouraging,bail-out ,Positive
enhance,bail-out ,Positive
expand*,bail-out ,Positive
firm*,bail-out ,Positive
generous*,bail-out ,Positive
great,bail-out ,Positive
grow*,bail-out ,Positive
healthy,bail-out ,Positive
high*,bail-out ,Positive
improv*,bail-out ,Positive
increas*,bail-out ,Positive
positive,bail-out ,Positive
powerful,bail-out ,Positive
promis*,bail-out ,Positive
protect*,bail-out ,Positive
rais*,bail-out ,Positive
relief,bail-out ,Positive
rescue,bail-out ,Positive
responsib*,bail-out ,Positive
risi*,bail-out ,Positive
robust,bail-out ,Positive
solid,bail-out ,Positive
sound,bail-out ,Positive
stable,bail-out ,Positive
steadfast,bail-out ,Positive
steady ,bail-out ,Positive
stimul*,bail-out ,Positive
strong*,bail-out ,Positive
success*,bail-out ,Positive
support*,bail-out ,Positive
unlimited,bail-out ,Positive
accomodat*,bond*,Positive
balance*,bond*,Positive
benefit*,bond*,Positive
better,bond*,Positive
recover,bond*,Positive
efficient,bond*,Positive
encouraging,bond*,Positive
enhance,bond*,Positive
expand*,bond*,Positive
firm*,bond*,Positive
generous*,bond*,Positive
great,bond*,Positive
grow*,bond*,Positive
healthy,bond*,Positive
high*,bond*,Positive
improv*,bond*,Positive
increas*,bond*,Positive
positive,bond*,Positive
powerful,bond*,Positive
promis*,bond*,Positive
protect*,bond*,Positive
rais*,bond*,Positive
relief,bond*,Positive
rescue,bond*,Positive
responsib*,bond*,Positive
risi*,bond*,Positive
robust,bond*,Positive
solid,bond*,Positive
sound,bond*,Positive
stable,bond*,Positive
steadfast,bond*,Positive
steady ,bond*,Positive
stimul*,bond*,Positive
strong*,bond*,Positive
success*,bond*,Positive
support*,bond*,Positive
unlimited,bond*,Positive
accomodat*,domestic demand,Positive
balance*,domestic demand,Positive
benefit*,domestic demand,Positive
better,domestic demand,Positive
recover,domestic demand,Positive
efficient,domestic demand,Positive
encouraging,domestic demand,Positive
enhance,domestic demand,Positive
expand*,domestic demand,Positive
firm*,domestic demand,Positive
generous*,domestic demand,Positive
great,domestic demand,Positive
grow*,domestic demand,Positive
healthy,domestic demand,Positive
high*,domestic demand,Positive
improv*,domestic demand,Positive
increas*,domestic demand,Positive
positive,domestic demand,Positive
powerful,domestic demand,Positive
promis*,domestic demand,Positive
protect*,domestic demand,Positive
rais*,domestic demand,Positive
relief,domestic demand,Positive
rescue,domestic demand,Positive
responsib*,domestic demand,Positive
risi*,domestic demand,Positive
robust,domestic demand,Positive
solid,domestic demand,Positive
