Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
assist,citizen*,Positive
benefit*,citizen*,Positive
boost,citizen*,Positive
comfort,citizen*,Positive
cooperative,citizen*,Positive
enhance,citizen*,Positive
expand*,citizen*,Positive
generous*,citizen*,Positive
grow*,citizen*,Positive
help ,citizen*,Positive
high*,citizen*,Positive
hike,citizen*,Positive
improv*,citizen*,Positive
increas*,citizen*,Positive
lift,citizen*,Positive
optimistic,citizen*,Positive
pleased,citizen*,Positive
positive,citizen*,Positive
protect*,citizen*,Positive
rais*,citizen*,Positive
risi*,citizen*,Positive
satisified,citizen*,Positive
strengthen*,citizen*,Positive
support ,citizen*,Positive
surge,citizen*,Positive
sustain,citizen*,Positive
united,citizen*,Positive
uplift,citizen*,Positive
assist,disposable income ,Positive
benefit*,disposable income ,Positive
boost,disposable income ,Positive
comfort,disposable income ,Positive
cooperative,disposable income ,Positive
enhance,disposable income ,Positive
expand*,disposable income ,Positive
generous*,disposable income ,Positive
grow*,disposable income ,Positive
help ,disposable income ,Positive
high*,disposable income ,Positive
hike,disposable income ,Positive
improv*,disposable income ,Positive
increas*,disposable income ,Positive
lift,disposable income ,Positive
optimistic,disposable income ,Positive
pleased,disposable income ,Positive
positive,disposable income ,Positive
protect*,disposable income ,Positive
rais*,disposable income ,Positive
risi*,disposable income ,Positive
satisified,disposable income ,Positive
strengthen*,disposable income ,Positive
support ,disposable income ,Positive
surge,disposable income ,Positive
sustain,disposable income ,Positive
united,disposable income ,Positive
uplift,disposable income ,Positive
assist,electorate,Positive
benefit*,electorate,Positive
boost,electorate,Positive
comfort,electorate,Positive
cooperative,electorate,Positive
enhance,electorate,Positive
expand*,electorate,Positive
generous*,electorate,Positive
grow*,electorate,Positive
help ,electorate,Positive
high*,electorate,Positive
hike,electorate,Positive
improv*,electorate,Positive
increas*,electorate,Positive
lift,electorate,Positive
optimistic,electorate,Positive
pleased,electorate,Positive
positive,electorate,Positive
protect*,electorate,Positive
rais*,electorate,Positive
risi*,electorate,Positive
satisified,electorate,Positive
strengthen*,electorate,Positive
support ,electorate,Positive
surge,electorate,Positive
sustain,electorate,Positive
united,electorate,Positive
uplift,electorate,Positive
assist,household*,Positive
benefit*,household*,Positive
boost,household*,Positive
comfort,household*,Positive
cooperative,household*,Positive
enhance,household*,Positive
expand*,household*,Positive
generous*,household*,Positive
grow*,household*,Positive
help ,household*,Positive
high*,household*,Positive
hike,household*,Positive
improv*,household*,Positive
increas*,household*,Positive
lift,household*,Positive
optimistic,household*,Positive
pleased,household*,Positive
positive,household*,Positive
protect*,household*,Positive
rais*,household*,Positive
risi*,household*,Positive
satisified,household*,Positive
strengthen*,household*,Positive
support ,household*,Positive
surge,household*,Positive
sustain,household*,Positive
united,household*,Positive
uplift,household*,Positive
assist,pension* ,Positive
benefit*,pension* ,Positive
boost,pension* ,Positive
comfort,pension* ,Positive
cooperative,pension* ,Positive
enhance,pension* ,Positive
expand*,pension* ,Positive
generous*,pension* ,Positive
grow*,pension* ,Positive
help ,pension* ,Positive
high*,pension* ,Positive
hike,pension* ,Positive
improv*,pension* ,Positive
increas*,pension* ,Positive
lift,pension* ,Positive
optimistic,pension* ,Positive
pleased,pension* ,Positive
positive,pension* ,Positive
protect*,pension* ,Positive
rais*,pension* ,Positive
risi*,pension* ,Positive
satisified,pension* ,Positive
strengthen*,pension* ,Positive
support ,pension* ,Positive
surge,pension* ,Positive
sustain,pension* ,Positive
united,pension* ,Positive
uplift,pension* ,Positive
assist,saver*,Positive
benefit*,saver*,Positive
boost,saver*,Positive
comfort,saver*,Positive
cooperative,saver*,Positive
enhance,saver*,Positive
expand*,saver*,Positive
generous*,saver*,Positive
grow*,saver*,Positive
help ,saver*,Positive
high*,saver*,Positive
hike,saver*,Positive
improv*,saver*,Positive
increas*,saver*,Positive
lift,saver*,Positive
optimistic,saver*,Positive
pleased,saver*,Positive
positive,saver*,Positive
protect*,saver*,Positive
rais*,saver*,Positive
risi*,saver*,Positive
satisified,saver*,Positive
strengthen*,saver*,Positive
support ,saver*,Positive
surge,saver*,Positive
sustain,saver*,Positive
united,saver*,Positive
uplift,saver*,Positive
assist,saving* ,Positive
benefit*,saving* ,Positive
boost,saving* ,Positive
comfort,saving* ,Positive
cooperative,saving* ,Positive
enhance,saving* ,Positive
expand*,saving* ,Positive
generous*,saving* ,Positive
grow*,saving* ,Positive
help ,saving* ,Positive
high*,saving* ,Positive
hike,saving* ,Positive
improv*,saving* ,Positive
increas*,saving* ,Positive
lift,saving* ,Positive
optimistic,saving* ,Positive
pleased,saving* ,Positive
positive,saving* ,Positive
protect*,saving* ,Positive
rais*,saving* ,Positive
risi*,saving* ,Positive
satisified,saving* ,Positive
strengthen*,saving* ,Positive
support ,saving* ,Positive
surge,saving* ,Positive
sustain,saving* ,Positive
united,saving* ,Positive
uplift,saving* ,Positive
assist,taxp*,Positive
benefit*,taxp*,Positive
boost,taxp*,Positive
comfort,taxp*,Positive
cooperative,taxp*,Positive
enhance,taxp*,Positive
expand*,taxp*,Positive
generous*,taxp*,Positive
grow*,taxp*,Positive
help ,taxp*,Positive
high*,taxp*,Positive
hike,taxp*,Positive
improv*,taxp*,Positive
increas*,taxp*,Positive
lift,taxp*,Positive
optimistic,taxp*,Positive
pleased,taxp*,Positive
positive,taxp*,Positive
protect*,taxp*,Positive
rais*,taxp*,Positive
risi*,taxp*,Positive
satisified,taxp*,Positive
strengthen*,taxp*,Positive
support ,taxp*,Positive
surge,taxp*,Positive
sustain,taxp*,Positive
united,taxp*,Positive
uplift,taxp*,Positive
angry,citizen*,Negative
concerned,citizen*,Negative
damage*,citizen*,Negative
declin*,citizen*,Negative
decreas*,citizen*,Negative
diminish,citizen*,Negative
disagreeing,citizen*,Negative
disapprove,citizen*,Negative
disillusioned,citizen*,Negative
displease*,citizen*,Negative
dissatisfied,citizen*,Negative
fearful,citizen*,Negative
frustrate,citizen*,Negative
hinder,citizen*,Negative
hurt*,citizen*,Negative
injure,citizen*,Negative
insufficient,citizen*,Negative
low*,citizen*,Negative
not enough,citizen*,Negative
opposing,citizen*,Negative
pessimistic,citizen*,Negative
protest,citizen*,Negative
small*,citizen*,Negative
suffer*,citizen*,Negative
upset,citizen*,Negative
weak*,citizen*,Negative
worried,citizen*,Negative
worse,citizen*,Negative
angry,disposable income ,Negative
concerned,disposable income ,Negative
damage*,disposable income ,Negative
declin*,disposable income ,Negative
decreas*,disposable income ,Negative
diminish,disposable income ,Negative
disagreeing,disposable income ,Negative
disapprove,disposable income ,Negative
disillusioned,disposable income ,Negative
displease*,disposable income ,Negative
dissatisfied,disposable income ,Negative
fearful,disposable income ,Negative
frustrate,disposable income ,Negative
hinder,disposable income ,Negative
hurt*,disposable income ,Negative
injure,disposable income ,Negative
insufficient,disposable income ,Negative
low*,disposable income ,Negative
not enough,disposable income ,Negative
opposing,disposable income ,Negative
pessimistic,disposable income ,Negative
protest,disposable income ,Negative
small*,disposable income ,Negative
suffer*,disposable income ,Negative
upset,disposable income ,Negative
weak*,disposable income ,Negative
worried,disposable income ,Negative
worse,disposable income ,Negative
angry,electorate,Negative
concerned,electorate,Negative
damage*,electorate,Negative
declin*,electorate,Negative
decreas*,electorate,Negative
diminish,electorate,Negative
disagreeing,electorate,Negative
disapprove,electorate,Negative
disillusioned,electorate,Negative
displease*,electorate,Negative
dissatisfied,electorate,Negative
