Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
cautio*,asset*,Negative
collaps*,asset*,Negative
concern*,asset*,Negative
dampen*,asset*,Negative
decelerat*,asset*,Negative
declin*,asset*,Negative
decreas*,asset*,Negative
delay*,asset*,Negative
depress*,asset*,Negative
destabili*,asset*,Negative
deteriorat*,asset*,Negative
devalu*,asset*,Negative
diffic*,asset*,Negative
diminish*,asset*,Negative
disappear*,asset*,Negative
disorderl*,asset*,Negative
downside,asset*,Negative
downward ,asset*,Negative
fall*,asset*,Negative
fragil*,asset*,Negative
limit ,asset*,Negative
low*,asset*,Negative
negative,asset*,Negative
plummet*,asset*,Negative
poor,asset*,Negative
precaution*,asset*,Negative
regulator,asset*,Negative
scrutinize*,asset*,Negative
severe,asset*,Negative
slack,asset*,Negative
slow,asset*,Negative
sluggish,asset*,Negative
small*,asset*,Negative
speculative*,asset*,Negative
struggling,asset*,Negative
subdued,asset*,Negative
supervis*,asset*,Negative
taper*,asset*,Negative
turbulent ,asset*,Negative
uncertain*,asset*,Negative
unfavourabl*,asset*,Negative
unstable,asset*,Negative
unsustainable,asset*,Negative
weak*,asset*,Negative
worse*,asset*,Negative
unfavourabl*,asset*,Negative
accelerat*,asset*,Positive
accomodate,asset*,Positive
better,asset*,Positive
bounce back,asset*,Positive
enhance,asset*,Positive
ensure,asset*,Positive
expand*,asset*,Positive
fast*,asset*,Positive
favourabl*,asset*,Positive
firm*,asset*,Positive
great*,asset*,Positive
high ,asset*,Positive
improv*,asset*,Positive
increas*,asset*,Positive
invigorate,asset*,Positive
larg*,asset*,Positive
lift,asset*,Positive
positive ,asset*,Positive
rais*,asset*,Positive
rallying,asset*,Positive
resilient,asset*,Positive
rise,asset*,Positive
risi*,asset*,Positive
robust ,asset*,Positive
safeguard ,asset*,Positive
secure,asset*,Positive
soar,asset*,Positive
solid ,asset*,Positive
solvent,asset*,Positive
sound,asset*,Positive
stable ,asset*,Positive
steady,asset*,Positive
stimul*,asset*,Positive
strengthen,asset*,Positive
strong ,asset*,Positive
success*,asset*,Positive
support* ,asset*,Positive
surge,asset*,Positive
sustainable,asset*,Positive
swift* ,asset*,Positive
unconventional*,asset*,Positive
upward,asset*,Positive
favorabl*,asset*,Positive
volitil*,asset*,Negative
uplifting,asset*,Positive
cautio*,bank*,Negative
collaps*,bank*,Negative
concern*,bank*,Negative
dampen*,bank*,Negative
decelerat*,bank*,Negative
declin*,bank*,Negative
decreas*,bank*,Negative
delay*,bank*,Negative
depress*,bank*,Negative
destabili*,bank*,Negative
deteriorat*,bank*,Negative
devalu*,bank*,Negative
diffic*,bank*,Negative
diminish*,bank*,Negative
disappear*,bank*,Negative
disorderl*,bank*,Negative
downside,bank*,Negative
downward ,bank*,Negative
fall*,bank*,Negative
fragil*,bank*,Negative
limit ,bank*,Negative
low*,bank*,Negative
negative,bank*,Negative
plummet*,bank*,Negative
poor,bank*,Negative
precaution*,bank*,Negative
regulator,bank*,Negative
scrutinize*,bank*,Negative
severe,bank*,Negative
slack,bank*,Negative
slow,bank*,Negative
sluggish,bank*,Negative
small*,bank*,Negative
speculative*,bank*,Negative
struggling,bank*,Negative
subdued,bank*,Negative
supervis*,bank*,Negative
taper*,bank*,Negative
turbulent ,bank*,Negative
uncertain*,bank*,Negative
unfavourabl*,bank*,Negative
unstable,bank*,Negative
unsustainable,bank*,Negative
weak*,bank*,Negative
worse*,bank*,Negative
unfavourabl*,bank*,Negative
accelerat*,bank*,Positive
accomodate,bank*,Positive
better,bank*,Positive
bounce back,bank*,Positive
enhance,bank*,Positive
ensure,bank*,Positive
expand*,bank*,Positive
fast*,bank*,Positive
favourabl*,bank*,Positive
firm*,bank*,Positive
great*,bank*,Positive
high ,bank*,Positive
improv*,bank*,Positive
increas*,bank*,Positive
invigorate,bank*,Positive
larg*,bank*,Positive
lift,bank*,Positive
positive ,bank*,Positive
rais*,bank*,Positive
rallying,bank*,Positive
resilient,bank*,Positive
rise,bank*,Positive
risi*,bank*,Positive
robust ,bank*,Positive
safeguard ,bank*,Positive
secure,bank*,Positive
soar,bank*,Positive
solid ,bank*,Positive
solvent,bank*,Positive
sound,bank*,Positive
stable ,bank*,Positive
steady,bank*,Positive
stimul*,bank*,Positive
strengthen,bank*,Positive
strong ,bank*,Positive
success*,bank*,Positive
support* ,bank*,Positive
surge,bank*,Positive
sustainable,bank*,Positive
swift* ,bank*,Positive
unconventional*,bank*,Positive
upward,bank*,Positive
favorabl*,bank*,Positive
volitil*,bank*,Negative
uplifting,bank*,Positive
,boom,Positive
,boost,Positive
cautio*,credit ,Negative
collaps*,credit ,Negative
concern*,credit ,Negative
dampen*,credit ,Negative
decelerat*,credit ,Negative
declin*,credit ,Negative
decreas*,credit ,Negative
delay*,credit ,Negative
depress*,credit ,Negative
destabili*,credit ,Negative
deteriorat*,credit ,Negative
devalu*,credit ,Negative
diffic*,credit ,Negative
diminish*,credit ,Negative
disappear*,credit ,Negative
disorderl*,credit ,Negative
downside,credit ,Negative
downward ,credit ,Negative
fall*,credit ,Negative
fragil*,credit ,Negative
limit ,credit ,Negative
low*,credit ,Negative
negative,credit ,Negative
plummet*,credit ,Negative
poor,credit ,Negative
precaution*,credit ,Negative
regulator,credit ,Negative
scrutinize*,credit ,Negative
severe,credit ,Negative
slack,credit ,Negative
slow,credit ,Negative
sluggish,credit ,Negative
small*,credit ,Negative
speculative*,credit ,Negative
struggling,credit ,Negative
subdued,credit ,Negative
supervis*,credit ,Negative
taper*,credit ,Negative
turbulent ,credit ,Negative
uncertain*,credit ,Negative
unfavourabl*,credit ,Negative
unstable,credit ,Negative
unsustainable,credit ,Negative
weak*,credit ,Negative
worse*,credit ,Negative
unfavourabl*,credit ,Negative
accelerat*,credit ,Positive
accomodate,credit ,Positive
better,credit ,Positive
bounce back,credit ,Positive
enhance,credit ,Positive
ensure,credit ,Positive
expand*,credit ,Positive
fast*,credit ,Positive
favourabl*,credit ,Positive
firm*,credit ,Positive
great*,credit ,Positive
high ,credit ,Positive
improv*,credit ,Positive
increas*,credit ,Positive
invigorate,credit ,Positive
larg*,credit ,Positive
lift,credit ,Positive
positive ,credit ,Positive
rais*,credit ,Positive
rallying,credit ,Positive
resilient,credit ,Positive
rise,credit ,Positive
risi*,credit ,Positive
robust ,credit ,Positive
safeguard ,credit ,Positive
secure,credit ,Positive
soar,credit ,Positive
solid ,credit ,Positive
solvent,credit ,Positive
sound,credit ,Positive
stable ,credit ,Positive
steady,credit ,Positive
stimul*,credit ,Positive
strengthen,credit ,Positive
strong ,credit ,Positive
success*,credit ,Positive
support* ,credit ,Positive
surge,credit ,Positive
sustainable,credit ,Positive
swift* ,credit ,Positive
unconventional*,credit ,Positive
upward,credit ,Positive
favorabl*,credit ,Positive
volitil*,credit ,Negative
uplifting,credit ,Positive
cautio*,cyclical position,Negative
collaps*,cyclical position,Negative
concern*,cyclical position,Negative
dampen*,cyclical position,Negative
decelerat*,cyclical position,Negative
declin*,cyclical position,Negative
decreas*,cyclical position,Negative
delay*,cyclical position,Negative
