Adjectives/Verbs;;Nouns (dependent);Nouns ;
 Hawkish;Dovish;;Hawkish;Dovish
accelerat*;cautio*;asset*;boom;imbalance*
accomodate;collaps*;bank*;boost;overheat*
better;concern*;credit ;upswing ;recession 
bounce back;dampen*;cyclical position;upturn ;risk*
enhance;decelerat*;financial ;upsurge;shock*
ensure;declin*;growth;;slowdown
expand*;decreas*;instrument* ;;speculat*
fast*;delay*;investment;;turmoil
favo(u)rabl*;depress*;investor*;;vigilan*
firm*;destabili*;liquidity;;volatil*
great*;deteriorat*;market*;;
high ;devalu*;portfolio ;;
improv*;diffic*;principal payment;;
increas*;diminish*;profit*;;
invigorate;disappear*;recovery;;
larg*;disorderl*;refinancing ;;
lift;downside;reinvestment* ;;
positive ;downward ;return;;
rais*;fall*;stock* ;;
rallying;fragil*;;;
resilient;limit ;;;
rise;low*;;;
risi*;negative;;;
robust ;plummet*;;;
safeguard ;poor;;;
secure;precaution*;;;
soar;regulator;;;
solid ;scrutinize*;;;
solvent;severe;;;
sound;slack;;;
stable ;slow;;;
steady;sluggish;;;
stimul*;small*;;;
strengthen;speculative*;;;
strong ;struggling;;;
success*;subdued;;;
support* ;supervis*;;;
surge;taper*;;;
sustainable;turbulent ;;;
swift* ;uncertain*;;;
unconventional*;unfavo(u)rabl*;;;
upward;unstable;;;
;unsustainable;;;
;weak*;;;
;worse*;;;
