Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
baisse,bailout,Positive
consolider,bailout,Positive
corrompre ,bailout,Positive
déséquilibre,bailout,Positive
déstabiliser,bailout,Positive
détériorer,bailout,Positive
difficile,bailout,Positive
diminuer,bailout,Positive
discipline*,bailout,Positive
échouer*,bailout,Positive
en difficulté,bailout,Positive
faible*,bailout,Positive
fragile,bailout,Positive
fraude*,bailout,Positive
inefficace,bailout,Positive
insoutenable,bailout,Positive
instable,bailout,Positive
insuffisant ,bailout,Positive
involontaire,bailout,Positive
irresponsable*,bailout,Positive
lent,bailout,Positive
maigre,bailout,Positive
négatif,bailout,Positive
petit*,bailout,Positive
pire*,bailout,Positive
problème*,bailout,Positive
réduire,bailout,Positive
restrictif*,bailout,Positive
réticent,bailout,Positive
rigide,bailout,Positive
serré,bailout,Positive
sévère,bailout,Positive
structurel ,bailout,Positive
tomber*,bailout,Positive
troublant,bailout,Positive
troublé*,bailout,Positive
urgent*,bailout,Positive
baisse,bail-out ,Positive
consolider,bail-out ,Positive
corrompre ,bail-out ,Positive
déséquilibre,bail-out ,Positive
déstabiliser,bail-out ,Positive
détériorer,bail-out ,Positive
difficile,bail-out ,Positive
diminuer,bail-out ,Positive
discipline*,bail-out ,Positive
échouer*,bail-out ,Positive
en difficulté,bail-out ,Positive
faible*,bail-out ,Positive
fragile,bail-out ,Positive
fraude*,bail-out ,Positive
inefficace,bail-out ,Positive
insoutenable,bail-out ,Positive
instable,bail-out ,Positive
insuffisant ,bail-out ,Positive
involontaire,bail-out ,Positive
irresponsable*,bail-out ,Positive
lent,bail-out ,Positive
maigre,bail-out ,Positive
négatif,bail-out ,Positive
petit*,bail-out ,Positive
pire*,bail-out ,Positive
problème*,bail-out ,Positive
réduire,bail-out ,Positive
restrictif*,bail-out ,Positive
réticent,bail-out ,Positive
rigide,bail-out ,Positive
serré,bail-out ,Positive
sévère,bail-out ,Positive
structurel ,bail-out ,Positive
tomber*,bail-out ,Positive
troublant,bail-out ,Positive
troublé*,bail-out ,Positive
urgent*,bail-out ,Positive
baisse,bilan du gouvernement*,Positive
consolider,bilan du gouvernement*,Positive
corrompre ,bilan du gouvernement*,Positive
déséquilibre,bilan du gouvernement*,Positive
déstabiliser,bilan du gouvernement*,Positive
détériorer,bilan du gouvernement*,Positive
difficile,bilan du gouvernement*,Positive
diminuer,bilan du gouvernement*,Positive
discipline*,bilan du gouvernement*,Positive
échouer*,bilan du gouvernement*,Positive
en difficulté,bilan du gouvernement*,Positive
faible*,bilan du gouvernement*,Positive
fragile,bilan du gouvernement*,Positive
fraude*,bilan du gouvernement*,Positive
inefficace,bilan du gouvernement*,Positive
insoutenable,bilan du gouvernement*,Positive
instable,bilan du gouvernement*,Positive
insuffisant ,bilan du gouvernement*,Positive
involontaire,bilan du gouvernement*,Positive
irresponsable*,bilan du gouvernement*,Positive
lent,bilan du gouvernement*,Positive
maigre,bilan du gouvernement*,Positive
négatif,bilan du gouvernement*,Positive
petit*,bilan du gouvernement*,Positive
pire*,bilan du gouvernement*,Positive
problème*,bilan du gouvernement*,Positive
