Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
allarmé ,citoyen *,Negative
baisse,citoyen *,Negative
blesser,citoyen *,Negative
bouleversé,citoyen *,Negative
craintif,citoyen *,Negative
craintif,citoyen *,Negative
décliner*,citoyen *,Negative
déçu,citoyen *,Negative
défavoriser,citoyen *,Negative
désapprouver,citoyen *,Negative
désservir ,citoyen *,Negative
diminuer,citoyen *,Negative
en colère,citoyen *,Negative
en désaccord,citoyen *,Negative
endommagé*,citoyen *,Negative
faible*,citoyen *,Negative
frustrer,citoyen *,Negative
gêner,citoyen *,Negative
indigné,citoyen *,Negative
inquiet,citoyen *,Negative
insatisfait,citoyen *,Negative
insuffisant,citoyen *,Negative
manifesté,citoyen *,Negative
manque de,citoyen *,Negative
mécontent*.,citoyen *,Negative
negatif,citoyen *,Negative
opposé,citoyen *,Negative
pas assez,citoyen *,Negative
pessimiste,citoyen *,Negative
pire,citoyen *,Negative
sans,citoyen *,Negative
soucieux,citoyen *,Negative
subir*,citoyen *,Negative
allarmé ,contribuable*,Negative
baisse,contribuable*,Negative
blesser,contribuable*,Negative
bouleversé,contribuable*,Negative
craintif,contribuable*,Negative
craintif,contribuable*,Negative
décliner*,contribuable*,Negative
déçu,contribuable*,Negative
défavoriser,contribuable*,Negative
désapprouver,contribuable*,Negative
désservir ,contribuable*,Negative
diminuer,contribuable*,Negative
en colère,contribuable*,Negative
en désaccord,contribuable*,Negative
endommagé*,contribuable*,Negative
faible*,contribuable*,Negative
frustrer,contribuable*,Negative
gêner,contribuable*,Negative
indigné,contribuable*,Negative
inquiet,contribuable*,Negative
insatisfait,contribuable*,Negative
insuffisant,contribuable*,Negative
manifesté,contribuable*,Negative
manque de,contribuable*,Negative
mécontent*.,contribuable*,Negative
negatif,contribuable*,Negative
opposé,contribuable*,Negative
pas assez,contribuable*,Negative
pessimiste,contribuable*,Negative
pire,contribuable*,Negative
sans,contribuable*,Negative
soucieux,contribuable*,Negative
subir*,contribuable*,Negative
allarmé ,électorat,Negative
baisse,électorat,Negative
blesser,électorat,Negative
bouleversé,électorat,Negative
craintif,électorat,Negative
craintif,électorat,Negative
décliner*,électorat,Negative
déçu,électorat,Negative
défavoriser,électorat,Negative
désapprouver,électorat,Negative
désservir ,électorat,Negative
diminuer,électorat,Negative
en colère,électorat,Negative
en désaccord,électorat,Negative
endommagé*,électorat,Negative
faible*,électorat,Negative
frustrer,électorat,Negative
gêner,électorat,Negative
indigné,électorat,Negative
inquiet,électorat,Negative
insatisfait,électorat,Negative
insuffisant,électorat,Negative
manifesté,électorat,Negative
manque de,électorat,Negative
mécontent*.,électorat,Negative
negatif,électorat,Negative
opposé,électorat,Negative
pas assez,électorat,Negative
pessimiste,électorat,Negative
pire,électorat,Negative
sans,électorat,Negative
soucieux,électorat,Negative
subir*,électorat,Negative
allarmé ,épargne* ,Negative
baisse,épargne* ,Negative
blesser,épargne* ,Negative
bouleversé,épargne* ,Negative
craintif,épargne* ,Negative
craintif,épargne* ,Negative
décliner*,épargne* ,Negative
déçu,épargne* ,Negative
défavoriser,épargne* ,Negative
désapprouver,épargne* ,Negative
désservir ,épargne* ,Negative
diminuer,épargne* ,Negative
en colère,épargne* ,Negative
en désaccord,épargne* ,Negative
endommagé*,épargne* ,Negative
faible*,épargne* ,Negative
frustrer,épargne* ,Negative
gêner,épargne* ,Negative
indigné,épargne* ,Negative
inquiet,épargne* ,Negative
insatisfait,épargne* ,Negative
insuffisant,épargne* ,Negative
manifesté,épargne* ,Negative
manque de,épargne* ,Negative
mécontent*.,épargne* ,Negative
negatif,épargne* ,Negative
opposé,épargne* ,Negative
pas assez,épargne* ,Negative
pessimiste,épargne* ,Negative
pire,épargne* ,Negative
sans,épargne* ,Negative
soucieux,épargne* ,Negative
subir*,épargne* ,Negative
allarmé ,foyer ,Negative
baisse,foyer ,Negative
blesser,foyer ,Negative
bouleversé,foyer ,Negative
craintif,foyer ,Negative
craintif,foyer ,Negative
décliner*,foyer ,Negative
déçu,foyer ,Negative
défavoriser,foyer ,Negative
