Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
aggravant,actif*,Negative
amorti,actif*,Negative
attentif,actif*,Negative
bas,actif*,Negative
chute ,actif*,Negative
décéléré,actif*,Negative
défavorable,actif*,Negative
déprimé,actif*,Negative
déstabilisant,actif*,Negative
détérioré,actif*,Negative
dévalué,actif*,Negative
difficile,actif*,Negative
diminuant,actif*,Negative
disparu,actif*,Negative
effondré,actif*,Negative
en baisse,actif*,Negative
en déclin,actif*,Negative
en difficulté,actif*,Negative
faible*,actif*,Negative
fragile,actif*,Negative
freiné,actif*,Negative
incertain*,actif*,Negative
inconvénient,actif*,Negative
inférieur,actif*,Negative
insoutenable,actif*,Negative
instable,actif*,Negative
lent,actif*,Negative
limite ,actif*,Negative
modéré,actif*,Negative
négatif,actif*,Negative
pauvre,actif*,Negative
petit*,actif*,Negative
pire*,actif*,Negative
précautionneux,actif*,Negative
préoccupé,actif*,Negative
prudent,actif*,Negative
ralenti,actif*,Negative
régulateur,actif*,Negative
scruter*,actif*,Negative
sévère,actif*,Negative
spéculatif*,actif*,Negative
stagnant,actif*,Negative
surveillé,actif*,Negative
turbulent ,actif*,Negative
vers le bas ,actif*,Negative
volatile,actif*,Negative
risque*,actif*,Negative
aggravant,action ,Negative
amorti,action ,Negative
attentif,action ,Negative
bas,action ,Negative
chute ,action ,Negative
décéléré,action ,Negative
défavorable,action ,Negative
déprimé,action ,Negative
déstabilisant,action ,Negative
détérioré,action ,Negative
dévalué,action ,Negative
difficile,action ,Negative
diminuant,action ,Negative
disparu,action ,Negative
effondré,action ,Negative
en baisse,action ,Negative
en déclin,action ,Negative
en difficulté,action ,Negative
faible*,action ,Negative
fragile,action ,Negative
freiné,action ,Negative
incertain*,action ,Negative
inconvénient,action ,Negative
inférieur,action ,Negative
insoutenable,action ,Negative
instable,action ,Negative
lent,action ,Negative
limite ,action ,Negative
modéré,action ,Negative
négatif,action ,Negative
pauvre,action ,Negative
petit*,action ,Negative
pire*,action ,Negative
précautionneux,action ,Negative
préoccupé,action ,Negative
prudent,action ,Negative
ralenti,action ,Negative
régulateur,action ,Negative
scruter*,action ,Negative
sévère,action ,Negative
spéculatif*,action ,Negative
stagnant,action ,Negative
surveillé,action ,Negative
turbulent ,action ,Negative
vers le bas ,action ,Negative
volatile,action ,Negative
risque*,action ,Negative
aggravant,banque*,Negative
amorti,banque*,Negative
attentif,banque*,Negative
bas,banque*,Negative
chute ,banque*,Negative
décéléré,banque*,Negative
défavorable,banque*,Negative
déprimé,banque*,Negative
déstabilisant,banque*,Negative
détérioré,banque*,Negative
dévalué,banque*,Negative
difficile,banque*,Negative
diminuant,banque*,Negative
disparu,banque*,Negative
effondré,banque*,Negative
en baisse,banque*,Negative
en déclin,banque*,Negative
en difficulté,banque*,Negative
faible*,banque*,Negative
fragile,banque*,Negative
freiné,banque*,Negative
incertain*,banque*,Negative
inconvénient,banque*,Negative
inférieur,banque*,Negative
insoutenable,banque*,Negative
instable,banque*,Negative
lent,banque*,Negative
limite ,banque*,Negative
modéré,banque*,Negative
négatif,banque*,Negative
pauvre,banque*,Negative
petit*,banque*,Negative
pire*,banque*,Negative
précautionneux,banque*,Negative
préoccupé,banque*,Negative
prudent,banque*,Negative
ralenti,banque*,Negative
régulateur,banque*,Negative
scruter*,banque*,Negative
