Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;;+;-
accommodant;baisse;bail-out ;déficit budgétaire stable;austérité
améliorant;consolider;bailout;déficit peu élévé ;chômage élevé
améliorer;corrompre ;bilan du gouvernement*;déficit public stable;crise
avantageux*;déséquilibre;budget de l'état ;déficit stable;défaut souverain
bonne;déstabiliser;budget du gouvernement;dette peu élévée;déficit budgétaire* élévé
constant;détériorer;demande étrangère;dette publique peu élévé;déficit croissant
couvrir;difficile;demande intérieure;dette souveraine stable;déficit croissant
croissant;diminuer;dépenses publiques;endettement public stable;déficit élevé
efficace;discipline*;employé*;expansion;déficit public élevé 
élevant;échouer*;employeur*;faible déficit budgétaire;dette publique croissante
élevé;en difficulté;export*;faible dette souveraine;dette publique élévée
en croissance;faible*;fiscal;faible pression sur les prix;dette souveraine élevée
en hausse;fragile;import*;faible* chômage;discipline budgétaire
encourager;fraude*;intégration;faible* dette publique ;faible niveau d'emploi
enourageant;inefficace;marché du travail;faible* niveau de chômage;forte* pression inflationniste
équilibre*;insoutenable;obligation d'État*;faible* pression inflationniste;fortes pressions inflationnistes* 
expansif;instable;obligation souveraine*;l'état providence;niveau élevé* du chômage
ferme;insuffisant ;petites et moyennes;niveaux élevés* d'emploi;pas de progrès 
fort*;involontaire;plan de sauvetage;plein* emploi;pression élevée sur les prix
généreux*;irresponsable*;PME*;progrès réel;pressions inflationnistes* fortes
grand;lent;programme*;prospérité;protectionniste
illimité;maigre;redistribuer*;signes de progrès;sans emploi
meilleur;négatif;réforme*;taux d'emploi élevé;surveiller*
positif;petit*;salaire*;;
prometteur;pire*;secteur public ;;
protégeant;problème*;service public*;;
puissant;réduire;titres d'État;;
responsable;restrictif*;transmission ;;
réussi;réticent;unité politique ;;
robuste;rigide;;;
sain;serré;;;
sauver;sévère;;;
secours;structurel ;;;
solide;tomber*;;;
stable;troublant;;;
stable ;troublé*;;;
stimulant;urgent*;;;
