Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;; +;-
aider;allarmé ;citoyen *;bien commun;bouleversement social
améliorer;baisse;contribuable*;cohésion sociale;conflit social 
assurer;blesser;électorat;égalité sociale;indignation scoaile
augmenter*;bouleversé;épargne* ;équilibre social;inégalité sociale
avantageux*;craintif;foyer ;harmonie sociale;insécurité sociale
content ;craintif;ménage*;paix et tranquillité;instabilité sociale
coopérer ;décliner*;retraite* ;paix sociale;maux sociaux
croitre;déçu;revenu disponible ;prospérité sociale;mécontentement social
élevé*;défavoriser;;solidarité sociale ;perturbation de l'ordre public
encourager;désapprouver;;stabilité sociale ;répartition des conflits civils
favoriser;désservir ;;tranquillité publique;tension sociale
fortifier;diminuer;;unité sociale;troubles sociaux
généreux*;en colère;;;
grandir;en désaccord;;;
hausse;endommagé*;;;
heureux;faible*;;;
lever;frustrer;;;
monter;gêner;;;
optimiste;indigné;;;
positif;inquiet;;;
privilégier;insatisfait;;;
protéger*;insuffisant;;;
rassasié;manifesté;;;
rassurer;manque de;;;
reconfort;mécontent*.;;;
renforcer*;negatif;;;
satsifait ;opposé;;;
sécuriser;pas assez;;;
servir;pessimiste;;;
solidifier;pire;;;
soutenir;sans;;;
stimuler;soucieux;;;
unis;subir*;;;
