Adjectives/Verbs;;Nouns (dependent);Nouns ;
 Hawkish;Dovish;;Hawkish;Dovish
accélérer;aggravant;actif*;accroissement;déséquilibre*
accueillir;amorti;banque*;boom;surchauffe*
agrandir;attentif;crédit ;expansion;récession 
améliorer;bas;position cyclique;redressement;risque*
assurer;chute ;financier ;relance;choc*
augmenter;décéléré;croissance;reprise;ralentissement
augmenter;défavorable;instrument* ;;spéculation*
avantageux;déprimé;investissement;;vigilan*
croître;déstabilisant;investisseur*;;volatile*
développer;détérioré;liquidité;;
durable;dévalué;marché*;;
élargir;difficile;portefeuille ;;
élévé;diminuant;paiement du capital;;
en croissance;disparu;bénéfice;;
favorable;effondré;recouvrement;;
ferme*;en baisse;refinancement ;;
fort;en déclin;réinvestissement ;;
grand*;en difficulté;rendement;;
haut ;faible*;action ;;
large;fragile;;;
mieux;freiné;;;
monter;incertain*;;;
non conventionnel;inconvénient;;;
positif ;inférieur;;;
puissant;insoutenable;;;
rapide;instable;;;
rapide*;lent;;;
rebondir;limite ;;;
rebondir;modéré;;;
renforcer;négatif;;;
résilient;pauvre;;;
résistent;petit*;;;
revigorer;pire*;;;
robuste ;précautionneux;;;
sauvegarder ;préoccupé;;;
sécurisé;prudent;;;
solide;ralenti;;;
solvable;régulateur;;;
soulever;scruter*;;;
soutenir;sévère;;;
stable;spéculatif*;;;
stimuler;stagnant;;;
succès;surveillé;;;
sûr;turbulent ;;;
vers le haut;vers le bas ;;;
