Adjectives/Verbs;;Nouns (dependent);Nouns ;
 +;-;;+;-
assurer ;absence de;croyance;;méfiance
augmenter;affaibli;confiance;;
communiquer;atténué;crédibilité;;
confirmer ;baisser;foi;;
construire;chute de;espoir;;
créer;crise de;;;
donner;diminuer;;;
élevé;écroulé;;;
établir;en baisse;;;
favoriser;endommagé;;;
forger;faible*;;;
grand;fragile ;;;
immense;insuffisant ;;;
infuser;limité;;;
inspirer;manque de;;;
instituer;pas assez de;;;
insuffler;pas de;;;
montrer;pénurie;;;
plus;perdre;;;
reconstruire;perdu;;;
redonner ;perte de;;;
relever;peu de;;;
remonter ;plonger;;;
renforcer;rabattre;;;
représenter;réduire ;;;
restaurer;s'effondre;;;
soutenir ;sans;;;
