Adjectives_Verbs;Nouns _Dependent;Adjective_Type
balance*;bail-out ;positive
balance*;bailout;positive
balance*;bond*;positive
balance*;domestic demand;positive
balance*;employee*;positive
balance*;employer*;positive
balance*;export*;positive
balance*;fiscal;positive
balance*;foreign demand;positive
balance*;fundamental*;positive
balance*;government balance sheet*;positive
balance*;government bond*;positive
balance*;government budget;positive
balance*;import*;positive
balance*;integration;positive
balance*;labo(u)r;positive
balance*;package;positive
balance*;political unity ;positive
balance*;program*;positive
balance*;public sector ;positive
balance*;public service;positive
balance*;redistribut*;positive
balance*;reform*;positive
balance*;small and medium;positive
balance*;SME*;positive
balance*;sovereign bond*;positive
balance*;state budget ;positive
balance*;state securit*;positive
balance*;transmission ;positive
balance*;wage*;positive
benefit*;bail-out ;positive
benefit*;bailout;positive
benefit*;bond*;positive
benefit*;domestic demand;positive
benefit*;employee*;positive
benefit*;employer*;positive
benefit*;export*;positive
benefit*;fiscal;positive
benefit*;foreign demand;positive
benefit*;fundamental*;positive
benefit*;government balance sheet*;positive
benefit*;government bond*;positive
benefit*;government budget;positive
benefit*;import*;positive
benefit*;integration;positive
benefit*;labo(u)r;positive
benefit*;package;positive
benefit*;political unity ;positive
benefit*;program*;positive
benefit*;public sector ;positive
benefit*;public service;positive
benefit*;redistribut*;positive
benefit*;reform*;positive
benefit*;small and medium;positive
benefit*;SME*;positive
benefit*;sovereign bond*;positive
benefit*;state budget ;positive
benefit*;state securit*;positive
benefit*;transmission ;positive
benefit*;wage*;positive
better;bail-out ;positive
better;bailout;positive
better;bond*;positive
better;domestic demand;positive
better;employee*;positive
better;employer*;positive
better;export*;positive
better;fiscal;positive
better;foreign demand;positive
better;fundamental*;positive
better;government balance sheet*;positive
better;government bond*;positive
better;government budget;positive
better;import*;positive
better;integration;positive
better;labo(u)r;positive
better;package;positive
better;political unity ;positive
better;program*;positive
better;public sector ;positive
better;public service;positive
better;redistribut*;positive
better;reform*;positive
better;small and medium;positive
better;SME*;positive
better;sovereign bond*;positive
better;state budget ;positive
better;state securit*;positive
better;transmission ;positive
better;wage*;positive
efficient;bail-out ;positive
efficient;bailout;positive
efficient;bond*;positive
efficient;domestic demand;positive
efficient;employee*;positive
efficient;employer*;positive
efficient;export*;positive
efficient;fiscal;positive
efficient;foreign demand;positive
efficient;fundamental*;positive
efficient;government balance sheet*;positive
efficient;government bond*;positive
efficient;government budget;positive
efficient;import*;positive
efficient;integration;positive
efficient;labo(u)r;positive
efficient;package;positive
efficient;political unity ;positive
efficient;program*;positive
efficient;public sector ;positive
efficient;public service;positive
efficient;redistribut*;positive
efficient;reform*;positive
efficient;small and medium;positive
efficient;SME*;positive
efficient;sovereign bond*;positive
efficient;state budget ;positive
efficient;state securit*;positive
efficient;transmission ;positive
efficient;wage*;positive
expand*;bail-out ;positive
expand*;bailout;positive
expand*;bond*;positive
expand*;domestic demand;positive
expand*;employee*;positive
expand*;employer*;positive
expand*;export*;positive
expand*;fiscal;positive
expand*;foreign demand;positive
expand*;fundamental*;positive
expand*;government balance sheet*;positive
expand*;government bond*;positive
expand*;government budget;positive
expand*;import*;positive
expand*;integration;positive
expand*;labo(u)r;positive
expand*;package;positive
expand*;political unity ;positive
expand*;program*;positive
expand*;public sector ;positive
expand*;public service;positive
expand*;redistribut*;positive
expand*;reform*;positive
expand*;small and medium;positive
expand*;SME*;positive
expand*;sovereign bond*;positive
expand*;state budget ;positive
expand*;state securit*;positive
expand*;transmission ;positive
expand*;wage*;positive
firm*;bail-out ;positive
firm*;bailout;positive
firm*;bond*;positive
firm*;domestic demand;positive
firm*;employee*;positive
firm*;employer*;positive
firm*;export*;positive
firm*;fiscal;positive
firm*;foreign demand;positive
firm*;fundamental*;positive
firm*;government balance sheet*;positive
firm*;government bond*;positive
firm*;government budget;positive
firm*;import*;positive
firm*;integration;positive
firm*;labo(u)r;positive
firm*;package;positive
firm*;political unity ;positive
firm*;program*;positive
firm*;public sector ;positive
firm*;public service;positive
firm*;redistribut*;positive
firm*;reform*;positive
firm*;small and medium;positive
firm*;SME*;positive
firm*;sovereign bond*;positive
firm*;state budget ;positive
firm*;state securit*;positive
firm*;transmission ;positive
firm*;wage*;positive
generous*;bail-out ;positive
generous*;bailout;positive
generous*;bond*;positive
generous*;domestic demand;positive
generous*;employee*;positive
generous*;employer*;positive
generous*;export*;positive
generous*;fiscal;positive
generous*;foreign demand;positive
generous*;fundamental*;positive
generous*;government balance sheet*;positive
generous*;government bond*;positive
generous*;government budget;positive
generous*;import*;positive
generous*;integration;positive
generous*;labo(u)r;positive
generous*;package;positive
generous*;political unity ;positive
generous*;program*;positive
generous*;public sector ;positive
generous*;public service;positive
generous*;redistribut*;positive
generous*;reform*;positive
generous*;small and medium;positive
generous*;SME*;positive
generous*;sovereign bond*;positive
generous*;state budget ;positive
generous*;state securit*;positive
generous*;transmission ;positive
generous*;wage*;positive
great;bail-out ;positive
great;bailout;positive
great;bond*;positive
great;domestic demand;positive
great;employee*;positive
great;employer*;positive
great;export*;positive
great;fiscal;positive
great;foreign demand;positive
great;fundamental*;positive
great;government balance sheet*;positive
great;government bond*;positive
great;government budget;positive
great;import*;positive
great;integration;positive
great;labo(u)r;positive
great;package;positive
great;political unity ;positive
great;program*;positive
great;public sector ;positive
great;public service;positive
great;redistribut*;positive
great;reform*;positive
great;small and medium;positive
great;SME*;positive
great;sovereign bond*;positive
great;state budget ;positive
great;state securit*;positive
great;transmission ;positive
great;wage*;positive
grow*;bail-out ;positive
grow*;bailout;positive
grow*;bond*;positive
grow*;domestic demand;positive
grow*;employee*;positive
grow*;employer*;positive
grow*;export*;positive
grow*;fiscal;positive
grow*;foreign demand;positive
grow*;fundamental*;positive
grow*;government balance sheet*;positive
grow*;government bond*;positive
grow*;government budget;positive
grow*;import*;positive
grow*;integration;positive
grow*;labo(u)r;positive
grow*;package;positive
grow*;political unity ;positive
grow*;program*;positive
grow*;public sector ;positive
grow*;public service;positive
grow*;redistribut*;positive
grow*;reform*;positive
grow*;small and medium;positive
grow*;SME*;positive
grow*;sovereign bond*;positive
grow*;state budget ;positive
grow*;state securit*;positive
grow*;transmission ;positive
grow*;wage*;positive
high*;bail-out ;positive
high*;bailout;positive
high*;bond*;positive
high*;domestic demand;positive
high*;employee*;positive
high*;employer*;positive
high*;export*;positive
high*;fiscal;positive
high*;foreign demand;positive
high*;fundamental*;positive
high*;government balance sheet*;positive
high*;government bond*;positive
high*;government budget;positive
high*;import*;positive
high*;integration;positive
high*;labo(u)r;positive
high*;package;positive
high*;political unity ;positive
high*;program*;positive
high*;public sector ;positive
high*;public service;positive
high*;redistribut*;positive
high*;reform*;positive
high*;small and medium;positive
high*;SME*;positive
high*;sovereign bond*;positive
high*;state budget ;positive
high*;state securit*;positive
high*;transmission ;positive
high*;wage*;positive
improv*;bail-out ;positive
improv*;bailout;positive
improv*;bond*;positive
improv*;domestic demand;positive
improv*;employee*;positive
improv*;employer*;positive
improv*;export*;positive
improv*;fiscal;positive
improv*;foreign demand;positive
improv*;fundamental*;positive
improv*;government balance sheet*;positive
improv*;government bond*;positive
improv*;government budget;positive
improv*;import*;positive
improv*;integration;positive
improv*;labo(u)r;positive
improv*;package;positive
improv*;political unity ;positive
improv*;program*;positive
improv*;public sector ;positive
improv*;public service;positive
improv*;redistribut*;positive
improv*;reform*;positive
improv*;small and medium;positive
improv*;SME*;positive
improv*;sovereign bond*;positive
improv*;state budget ;positive
improv*;state securit*;positive
improv*;transmission ;positive
improv*;wage*;positive
increas*;bail-out ;positive
increas*;bailout;positive
increas*;bond*;positive
increas*;domestic demand;positive
increas*;employee*;positive
increas*;employer*;positive
increas*;export*;positive
increas*;fiscal;positive
increas*;foreign demand;positive
increas*;fundamental*;positive
increas*;government balance sheet*;positive
increas*;government bond*;positive
increas*;government budget;positive
increas*;import*;positive
increas*;integration;positive
increas*;labo(u)r;positive
increas*;package;positive
increas*;political unity ;positive
increas*;program*;positive
increas*;public sector ;positive
increas*;public service;positive
increas*;redistribut*;positive
increas*;reform*;positive
increas*;small and medium;positive
increas*;SME*;positive
increas*;sovereign bond*;positive
increas*;state budget ;positive
increas*;state securit*;positive
increas*;transmission ;positive
increas*;wage*;positive
positive;bail-out ;positive
positive;bailout;positive
positive;bond*;positive
positive;domestic demand;positive
positive;employee*;positive
positive;employer*;positive
positive;export*;positive
positive;fiscal;positive
positive;foreign demand;positive
positive;fundamental*;positive
positive;government balance sheet*;positive
positive;government bond*;positive
positive;government budget;positive
positive;import*;positive
positive;integration;positive
positive;labo(u)r;positive
positive;package;positive
positive;political unity ;positive
positive;program*;positive
positive;public sector ;positive
positive;public service;positive
positive;redistribut*;positive
positive;reform*;positive
positive;small and medium;positive
positive;SME*;positive
positive;sovereign bond*;positive
positive;state budget ;positive
positive;state securit*;positive
positive;transmission ;positive
positive;wage*;positive
promis*;bail-out ;positive
promis*;bailout;positive
promis*;bond*;positive
promis*;domestic demand;positive
promis*;employee*;positive
promis*;employer*;positive
promis*;export*;positive
promis*;fiscal;positive
promis*;foreign demand;positive
promis*;fundamental*;positive
promis*;government balance sheet*;positive
promis*;government bond*;positive
promis*;government budget;positive
promis*;import*;positive
promis*;integration;positive
promis*;labo(u)r;positive
promis*;package;positive
promis*;political unity ;positive
promis*;program*;positive
promis*;public sector ;positive
promis*;public service;positive
promis*;redistribut*;positive
promis*;reform*;positive
promis*;small and medium;positive
promis*;SME*;positive
promis*;sovereign bond*;positive
promis*;state budget ;positive
promis*;state securit*;positive
promis*;transmission ;positive
promis*;wage*;positive
protect*;bail-out ;positive
protect*;bailout;positive
protect*;bond*;positive
protect*;domestic demand;positive
protect*;employee*;positive
