Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;;+;-
balance*;consolidat*;bail-out ;full* employment;austerity
benefit*;corrupt ;bailout;high* employment;crisis
better;declin*;bond*;high* levels of employment;cut*
efficient;destabili*;domestic demand;low* levels of unemployment;debt-to-GDP
expand*;deteriorat*;employee*;low* unemployment;fiscal deficit*
firm*;diffic*;employer*;real progress;fiscal disciplin*
generous*;diminish;export*;signs of progress;growing deficit*
great;discipline*;fiscal;welfare;high deficit*
grow*;fail*;foreign demand;;high* government debt
high*;fall*;fundamental*;;high* levels of unemployment
improv*;fraud*;government balance sheet*;;high* unemployment
increas*;inefficient;government bond*;;idiosyncr*
positive;insufficient ;government budget;;inflationary pressure*
promis*;involuntary;import*;;jobless
protect*;irresponsib*;integration;;lavish*
rais*;low*;labo(u)r;;lax*
relief;meager;package;;low levels of employment
rescue;negative;political unity ;;no progress 
responsib*;problem*;program*;;out of work
risi*;restrict*;public sector ;;price pressure*
solid;rigid;public service;;protectionist
sound;severe;redistribut*;;public debt 
stable;shaky ;reform*;;public deficit* 
steady ;shrink*;small and medium;;risi* public deficit* 
stimul*;slim;SME*;;shortfall 
strong*;slow;sovereign bond*;;sovereign debt
success*;small*;state budget ;;sovereign default
support*;structural ;state securit*;;surveil*
unlimited;struggling;transmission ;;
;tight;wage*;;
;troubl*;;;
;unbalance*;;;
;unstable;;;
;unsustainable;;;
;urgent*;;;
;weak*;;;
;worse*;;;
