Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;; +;-
benefit*;angry;citizen*;civic solidarity ;breakdown of civil
expand*;concerned;disposable income ;civic unity;civil conflict*
generous*;damage*;electorate;civil peace;civil unrest
grow*;declin*;household*;cohesive societ*;civil upheaval
high*;declin*;pension* ;common weal*;disruption of public order
improv*;diminish;saver*;commonweal*;political upheaval
positive;displease*;saving* ;peace and quiet;public disturbance
protect*;fearful;taxp*;public stability ;public indignation
rais*;hurt*;;public tranquility;social chaos
risi*;insufficient;;social balance;social discontent
satisified;low*;;social cohesi*;social ills
strengthen*;not enough;;social harmony;social inequalit*
support ;small*;;social prosberity;social insecurit*
;suffer*;;social solidarity;social instabilit*
;upset;;social stability ;social strife 
;weak*;;;social tension*
;worried;;;social unrest
;worse;;;social upheaval
