Adjectives/Verbs;;Nouns (dependent);Nouns ;
 Hawkish;Dovish;;Hawkish;Dovish
accelerat*;cautio*;asset*;boom;imbalance*
better;collaps*;bank*;boost;overheat*
expand*;concern*;credit ;upswing ;recession 
fast*;dampen*;cyclical position;upturn ;risk*
favo(u)rabl*;decelerat*;financial ;;shock*
firm*;declin*;growth;;slowdown
great*;decreas*;instrument* ;;speculat*
high ;delay*;investment;;turmoil
improv*;depress*;investor*;;vigilan*
increas*;destabili*;liquidity;;volatil*
larg*;deteriorat*;market*;;
positive ;devalu*;portfolio ;;
rais*;diffic*;principal payment;;
resilient;diminish*;profit*;;
rise;disappear*;recovery;;
risi*;disorderl*;refinancing ;;
robust ;downside;reinvestment* ;;
safeguard ;downward ;return;;
solid ;fall*;stock* ;;
solvent;fragil*;;;
stable ;limit ;;;
steady;low*;;;
stimul*;negative;;;
strengthen;plummet*;;;
strong ;poor;;;
support* ;precaution*;;;
sustainable;regulator;;;
swift* ;scrutinize*;;;
unconventional*;severe;;;
upward;slack;;;
;slow;;;
;sluggish;;;
;small*;;;
;speculative*;;;
;struggling;;;
;subdued;;;
;supervis*;;;
;taper*;;;
;turbulent ;;;
;uncertain*;;;
;unfavo(u)rabl*;;;
;unstable;;;
;unsustainable;;;
;weak*;;;
;worse*;;;
