LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1961,0.036557992,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1962,5.464884263,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1963,6.142928425,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1964,6.201358057,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1965,5.019119871,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1966,2.930535879,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1967,7.191402962,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1968,5.337648729,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1969,6.213592233,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1970,6.954571214,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.888114183,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1972,2.27675761,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1973,4.35304231,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1974,1.622155529,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1975,2.482833251,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1976,3.838009173,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1977,1.485966794,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1978,2.017500551,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1979,4.581487256,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1980,2.715214147,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1981,4.18169093,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1982,-0.356959921,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1983,-0.194092665,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1984,6.582460464,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1985,5.021859042,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1986,1.858620957,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1987,5.290748403,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1988,4.431717178,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1989,4.310587561,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1990,1.405009988,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1991,-1.330852077,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1992,2.980634338,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1993,4.093620872,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1994,4.738676676,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1995,3.080266938,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1996,4.04928309,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1997,4.162779993,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1998,4.9910741,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1999,4.205442129,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.30932256,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2001,2.727150846,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2002,3.940237984,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2003,2.921405658,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.970002432,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2005,3.060088937,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.756867377,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2007,4.429281683,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2008,2.545014704,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2009,1.885403212,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.448045213,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.7325291,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2012,3.92991652,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.099552021,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.548999707,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.295480549,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.730010486,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.440905832,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.880253207,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.944339272,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2020,-2.505192233,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2021,5.133615742,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2022,3.433386326,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1971,5.113129298,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1972,6.20786096,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1973,4.887300542,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1974,3.943750374,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1975,-0.362303213,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1976,4.577002439,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1977,5.079980803,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1978,-0.210653479,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1979,5.356699838,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1980,1.73148542,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1981,-0.144294507,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1982,2.011254375,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1983,2.97308801,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1984,0.051275236,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1985,2.498678504,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1986,2.301392772,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1987,1.357168012,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1988,3.295880224,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1989,3.887074779,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1990,4.345641539,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1991,3.441627414,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1992,2.093524731,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1993,0.52680946,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1994,2.402118767,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1995,2.667983664,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1996,2.304589917,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1997,2.213662789,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1998,3.458355261,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1999,3.379603089,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.680146496,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2001,1.227467198,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2002,1.730522084,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2003,0.98839494,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2004,2.485976246,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2005,2.423599154,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2006,3.567726189,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2007,3.698088223,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2008,1.49508758,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2009,-3.765930589,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.724384598,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.116253597,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.742041764,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.033938636,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.812473874,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.937884946,
