LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,CPIFORECAST,TOT,AGRWTH,A,1961,2.287581699,
AUS,CPIFORECAST,TOT,AGRWTH,A,1962,-0.319488818,
AUS,CPIFORECAST,TOT,AGRWTH,A,1963,0.641025641,
AUS,CPIFORECAST,TOT,AGRWTH,A,1964,2.866242038,
AUS,CPIFORECAST,TOT,AGRWTH,A,1965,3.405572755,
AUS,CPIFORECAST,TOT,AGRWTH,A,1966,3.293413174,
AUS,CPIFORECAST,TOT,AGRWTH,A,1967,3.47826087,
AUS,CPIFORECAST,TOT,AGRWTH,A,1968,2.521008403,
AUS,CPIFORECAST,TOT,AGRWTH,A,1969,3.278688525,
AUS,CPIFORECAST,TOT,AGRWTH,A,1970,3.439153439,
AUS,CPIFORECAST,TOT,AGRWTH,A,1971,6.138107417,
AUS,CPIFORECAST,TOT,AGRWTH,A,1972,6.024096386,
AUS,CPIFORECAST,TOT,AGRWTH,A,1973,9.090909091,
AUS,CPIFORECAST,TOT,AGRWTH,A,1974,15.41666667,
AUS,CPIFORECAST,TOT,AGRWTH,A,1975,15.16245487,
AUS,CPIFORECAST,TOT,AGRWTH,A,1976,13.32288401,
AUS,CPIFORECAST,TOT,AGRWTH,A,1977,12.30982019,
AUS,CPIFORECAST,TOT,AGRWTH,A,1978,8.004926108,
AUS,CPIFORECAST,TOT,AGRWTH,A,1979,9.122006842,
AUS,CPIFORECAST,TOT,AGRWTH,A,1980,10.13584117,
AUS,CPIFORECAST,TOT,AGRWTH,A,1981,9.487666034,
AUS,CPIFORECAST,TOT,AGRWTH,A,1982,11.35181976,
AUS,CPIFORECAST,TOT,AGRWTH,A,1983,10.03891051,
AUS,CPIFORECAST,TOT,AGRWTH,A,1984,3.96039604,
AUS,CPIFORECAST,TOT,AGRWTH,A,1985,6.734693878,
AUS,CPIFORECAST,TOT,AGRWTH,A,1986,9.090434992,
AUS,CPIFORECAST,TOT,AGRWTH,A,1987,8.487575481,
AUS,CPIFORECAST,TOT,AGRWTH,A,1988,7.212055974,
AUS,CPIFORECAST,TOT,AGRWTH,A,1989,7.580321285,
AUS,CPIFORECAST,TOT,AGRWTH,A,1990,7.232851143,
AUS,CPIFORECAST,TOT,AGRWTH,A,1991,3.307223673,
AUS,CPIFORECAST,TOT,AGRWTH,A,1992,0.968828981,
AUS,CPIFORECAST,TOT,AGRWTH,A,1993,1.752190238,
AUS,CPIFORECAST,TOT,AGRWTH,A,1994,1.96801968,
AUS,CPIFORECAST,TOT,AGRWTH,A,1995,4.583835947,
AUS,CPIFORECAST,TOT,AGRWTH,A,1996,2.652825836,
AUS,CPIFORECAST,TOT,AGRWTH,A,1997,0.224719101,
AUS,CPIFORECAST,TOT,AGRWTH,A,1998,0.859491779,
AUS,CPIFORECAST,TOT,AGRWTH,A,1999,1.407928863,
AUS,CPIFORECAST,TOT,AGRWTH,A,2000,4.457435148,
AUS,CPIFORECAST,TOT,AGRWTH,A,2001,4.407135362,
AUS,CPIFORECAST,TOT,AGRWTH,A,2002,3.048576214,
AUS,CPIFORECAST,TOT,AGRWTH,A,2003,2.730819246,
AUS,CPIFORECAST,TOT,AGRWTH,A,2004,2.341772152,
AUS,CPIFORECAST,TOT,AGRWTH,A,2005,2.659245516,
AUS,CPIFORECAST,TOT,AGRWTH,A,2006,3.554216867,
AUS,CPIFORECAST,TOT,AGRWTH,A,2007,2.356020942,
AUS,CPIFORECAST,TOT,AGRWTH,A,2008,4.347826087,
AUS,CPIFORECAST,TOT,AGRWTH,A,2009,1.770152505,
AUS,CPIFORECAST,TOT,AGRWTH,A,2010,2.863259299,
AUS,CPIFORECAST,TOT,AGRWTH,A,2011,3.329864724,
AUS,CPIFORECAST,TOT,AGRWTH,A,2012,1.711983887,
AUS,CPIFORECAST,TOT,AGRWTH,A,2013,2.475247525,
AUS,CPIFORECAST,TOT,AGRWTH,A,2014,2.487922705,
AUS,CPIFORECAST,TOT,AGRWTH,A,2015,1.484798492,
AUS,CPIFORECAST,TOT,AGRWTH,A,2016,1.277287506,
AUS,CPIFORECAST,TOT,AGRWTH,A,2017,1.994955285,
AUS,CPIFORECAST,TOT,AGRWTH,A,2018,1.910971223,
AUS,CPIFORECAST,TOT,AGRWTH,A,2019,1.588352085,
AUS,CPIFORECAST,TOT,AGRWTH,A,2020,0.890336591,
AUS,CPIFORECAST,TOT,AGRWTH,A,2021,1.976712438,
AUS,CPIFORECAST,TOT,AGRWTH,A,2022,1.660561773,
CAN,CPIFORECAST,TOT,AGRWTH,A,1993,1.865449494,
CAN,CPIFORECAST,TOT,AGRWTH,A,1994,0.136372492,
CAN,CPIFORECAST,TOT,AGRWTH,A,1995,2.188715953,
CAN,CPIFORECAST,TOT,AGRWTH,A,1996,1.580199905,
CAN,CPIFORECAST,TOT,AGRWTH,A,1997,1.611845188,
CAN,CPIFORECAST,TOT,AGRWTH,A,1998,0.986811768,
CAN,CPIFORECAST,TOT,AGRWTH,A,1999,1.744292237,
CAN,CPIFORECAST,TOT,AGRWTH,A,2000,2.73763576,
CAN,CPIFORECAST,TOT,AGRWTH,A,2001,2.507426175,
CAN,CPIFORECAST,TOT,AGRWTH,A,2002,2.27563283,
CAN,CPIFORECAST,TOT,AGRWTH,A,2003,2.741666667,
CAN,CPIFORECAST,TOT,AGRWTH,A,2004,1.841187444,
CAN,CPIFORECAST,TOT,AGRWTH,A,2005,2.230009557,
CAN,CPIFORECAST,TOT,AGRWTH,A,2006,2.017762543,
CAN,CPIFORECAST,TOT,AGRWTH,A,2007,2.130584192,
CAN,CPIFORECAST,TOT,AGRWTH,A,2008,2.385225064,
CAN,CPIFORECAST,TOT,AGRWTH,A,2009,0.299423063,
CAN,CPIFORECAST,TOT,AGRWTH,A,2010,1.769331586,
CAN,CPIFORECAST,TOT,AGRWTH,A,2011,2.890462903,
CAN,CPIFORECAST,TOT,AGRWTH,A,2012,1.529796259,
CAN,CPIFORECAST,TOT,AGRWTH,A,2013,0.924594206,
CAN,CPIFORECAST,TOT,AGRWTH,A,2014,1.920466884,
CAN,CPIFORECAST,TOT,AGRWTH,A,2015,1.118583128,
CAN,CPIFORECAST,TOT,AGRWTH,A,2016,1.435438204,
CAN,CPIFORECAST,TOT,AGRWTH,A,2017,1.603375527,
CAN,CPIFORECAST,TOT,AGRWTH,A,2018,2.242524917,
CAN,CPIFORECAST,TOT,AGRWTH,A,2019,1.955883272,
CAN,CPIFORECAST,TOT,AGRWTH,A,2020,0.735474381,
CAN,CPIFORECAST,TOT,AGRWTH,A,2021,2.020599307,
CAN,CPIFORECAST,TOT,AGRWTH,A,2022,1.406409062,
CZE,CPIFORECAST,TOT,AGRWTH,A,1994,10.03942422,
CZE,CPIFORECAST,TOT,AGRWTH,A,1995,8.990530564,
